body,context,conveyance,topic,tone,definition,notes
"(see '<insert witty, relevant keyword here>')",Of my own device,,,,,"I like using this paranthetical wit in writing, mostly for humor (see: nerd). I noticed Chuck Palahniuk did it in Choke, too.  Thief!"
"*greetings, closings, salutations*",Salutation,,,,,
<something> predicated on <something>,,,,,,
a la <whatever>,,,,,,
as I live and breathe,Greeting,,,,"Said, with a little humor, as if being visited by an angel.  Sly way of complimenting, as if to say someone's presence is heavenly.",
at rancid butter's melt,,time,,,,
at sparrow's fart,,time,,,,
basket of snakes,,,,,,
beck and call,Malapropism,,,,,instead of beckon call.  Way with Words (10-18-08)
"born on third base, but thought he hit a triple",,Condemnation,,,,said on bill maher by guest about george w. bush
bring the shit to shoe level,,Ineffective,,,,"heard bill maher say it (10-3-08, real time) in reference to the surge"
brought to bear,,,,,,
by the by; by and by,,,,,,
cast aspersions,,,,,,
cease and desist,Malapropism,,,,,
c'est foi,,,,,,kerouac in scattered poems
C'est la vie,,"Filler- Bleak acceptace, Deflection",,,,
champ at the bit,,Malapropism,,,,"Variation of champ at the bit, recasting it as chomp ""to chew noisily"" + bit ""part of a horse's harness held in its mouth""; horses tend to chew on their bits when impatient at waiting."
churning lung butter,Eww,,,,,
Cogito ergo sum,,,,,,
colder than a well digger's ass.,,,,,,Tom Waits from Going to California
courage of your convictions,,,,,,
cue the music,,Emotional times,,,,
cunning punning,,Words,,,,
cut the nose off despite the face,,,,,,heard on day to day
damn your eyes,,Condemnation,,,,
disabuse him/her of that notion,,,,,,
door yawned open,,Simaphors,,,,
enivrez-vous,,Indulgment,,,,
exercise in futility,,Ineffective,,,,
fangs a lot,,,,,,Funny way of saying Thanks a lot
flotsam and jetsam,,,,,,
for your/my own edification,,,,,,
give expression to,,,,,,
give it a looksie,,,,,,"as opposed to how I normally write it, a 'look-see.'  I actually like that better."
go see a man about a horse,,Nice way of saying,,,,go to the bathroom
hand grenades to bullets,,,,,,
hanging around on a doorknob,,,,,,
Hay is for horses,,proverb,,,,"Reminder to be more polite when getting someone's attention by saying, ""Hey."""
If I had my druthers...,,,,,,
inseparable as fingernail and dirt under it,,hand and hand,,,,discussed on Way with Words (8-23-08).  Foreign phrases for things that go closely together
inseprable as butt and underwear,,hand and hand,,,,discussed on Way with Words (8-23-08).  Foreign phrases for things that go closely together
interest was piqued,,Malapropism,,,,
it's like describing a sunset,,,,,,
jump the shark,,Condemnation,,,,
keep close counsel,,,,,,
keep the oars in the water,,,,,,"Make sure things are moving forward, progressing"
lend credence to,,,,,,
like eating soup with a fork,,Simaphors,,,,
like herding cats,,,,,,
like hog-tying a centipede,,,,,,Organizing something to make it coherent.  Used by critic in reference to plot of Lost
live life to the lees,,Indulgment,,,,
make ends meet,,,,,,
Make myself scarce,,,,,,
meet yourself coming back,,,,,,When you contradict yourself.  Can also be understood as so windy or crooked (such as a street) that you're liable to get all confused and disoriented that you meet yourself coming back.  Discussed on Way w/Words (10-11-08).
More human than human,,,,,,
mull it over,,,,,,
narcotic bliss,,Pleasure,,,,
nickel and dime it till it's a million bucks,,,,,,Pay very close attention to
note to self:,,,,,,
off the wagon,,,,,,
onward...,,Of my own device,,,,
patently ridiculous,,,,,,
playoff berth,,Malapropism,,,,
poor as Joe's turkey,,,,,,discussed on Way with Words (10-18-08)
pregnant pause,,,,,,
riding two horses at the same time,,,,,,Vic said this in meeting.  Means you're attention is split in two directions.
she's a slow drink of whiskey,,Let me count the ways,,,,"Jeremy from Sports Night, puffing out a metaphor in response to his gf's response to casey calling dana smokey"
slippery slope,,,,,,
So don't I,,,,,,"Statement of agreeance, actually.  Common in New England (Way with Words, ""Love Joe Floggers"" minicast)"
so it goes,,"Filler- Bleak acceptace, Deflection",,,,
social lubrication,,booze slang,,,,
souped up,,Malapropism,,,,
suffice it to say,,,,,,
swimmingly ,,Adverbing,,,,
Talking to you is like spitting back at rain,,Condemnation,,,,
tall drink of water,,,,,,
tall order,,,,,,
tempest in a teapot,,,,,,
the enemy of my enemy is my friend,,,,,,
There but for the grace of God go I,,,,,,
through the prism of,,,,,,
to use the parlance of our times,,Introduce a quote,,,,
to wit:,,Introduce a quote,,,,
twiddle the diddle,,Naughty,,,,
ultra-<insert adjective here>,,,,,,
unvarnished truth,,,,,,
useless as tits on a boar hog,,Condemnation,,,,
warms the cockles of my heart,,,,,,
wear the goat's horns,,Funny way of saying,,,,play the scapegoat
wet birds don't fly at night,,,,,,Like a zen koan.  Meaningless phrase meant to expose the inadequecy of language and reason/logic.  The idea of a koan being there's honor and enlightenment in mulling over and reasoning through things that don't have an answer.  Discussed on Way w/Words (10-11-08).
where the rubber meets the road,,,,,,
while away <as in while away the hours>,,Idleness,,,,
white knuckle it,,,,,,
wither on the vine,,Ineffective,,,,
zero sum,,,,,,
angst for the memories,Closing,thanks (ironic),,,,from movie Glory Daze
dethrone the Duke,,,,,,To poop.
that dog won't hunt,,,,,,
happier than a slinky on an escalator,,,,,,Heard it on one of those geico commercials with two guys and guitar
