body,author,topic,authorType,tone,source,notes
The meaning of life = 42,"Adams, Douglas",life,,,Hitchhiker's Guide to the Galaxy,
Tis better to have loved and lost than never to have loved at all.,"Alfred, Lord Tennyson",,,,,
Live life to the lees.,"Alfred, Lord Tennyson",happiness,,,"""Ulysses""",
To be calm is the greatest achievement of the self .,Anonymous,life,,,Yogi tea bag,
Even a broken clock is right twice a day.,Anonymous,success,,,idiom,1. Success obtained through dumb luck.  2. A rare moment of high achievement from an individual/team/company that is usually unsuccessful. 
The problem with internet quotes is that they're not always accurate.” – Abraham Lincoln,Anonymous,internet,,"ironic, funny",,
"To learn, read. To know, write. To master, teach.",Anonymous,knowledge,,,Yogi tea bag,
Be quick but don't rush.,"Ballmer, Steve",leadership,,,"speech, 6-10-09 in Charlotte, NC",Microsoft CEO
"There we can take deep baths of darkness, while sometimes for our entertainment, the Aurora Borealis will shoot up its rose-red sheafs like the reflections of the fireworks of hell!"" ","Baudelaire, Charles",Aurora Borealis,poet,,,
All words are pegs to hang ideas on.,"Beecher, Henry Ward",writing,,,,
"If you come across a fork in the road, take it.","Berra, Yogi",,,,,
...the only one who leaves me both breathless and speechless at the same time.,"Biden, Joe",love,,,,said in his speech at the DNC (aug. 27) about his wife.
Incomprehensible jargon is the hallmark of a profession.,"Brewster Jr, Kingman",language,,,,
"If past history was all there was to the game, the richest people would be librarians.","Buffet, Warren",life,,,,
"I don't have a problem with guilt about money. The way I see it is that my money represents an enormous number of claim checks on society. It's like I have these little pieces of paper that I can turn into consumption. If I wanted to, I could hire 10,000 people to do nothing but paint my picture every day for the rest of my life. And the GNP would go up. But the utility of the product would be zilch, and I would be keeping those 10,000 people from doing AIDS research, or teaching, or nursing. I don't do that though. I don't use very many of those claim checks. There's nothing material I want very much. And I'm going to give virtually all of those claim checks to charity when my wife and I die.","Buffet, Warren",wealth,,,,
"Hey, baby, when I write, I’m the hero of my own shit.","Bukowski, Charles",writing,,,,saw born into this doc…in response to a reporter asking about the truth of what he wrote
He has more degrees than a Russian protractor.,"Campbell, Pete",education,,,"Mad Men, S1 E3",Used that phrase to describe a well-educated guy.
It's an epic poem for me to get home.,"Campbell, Pete","commuting, travel, NYC",character,,,Said to Trooty all bristly re: his daily commute home from Manhattan to Long Island. S5 E11
"It's an interest of mine, not a hobby. Hobbies cost money.","Carlin, George",hobbies,,,"""Names"" You Are All Diseased","Could be a general saying, but couldn't find evidence of it."
You know why they call it 42nd street? Because that's about how long you want to spend there: 40 seconds.,"Carlin, George",Times Square,comedian,,,
Success is getting what you want.  Happiness is wanting what you get.,"Carnegie, Dale",happiness,,,,
Man 1: I'm afraid. Man 2: Good. Man 1: Why's that? Man 2: it means you're not stupid.,Character in Game of Thrones,afraid,character,"consoling, funny",,
"Life is like a box of chocolates. A cheap, thoughtless, perfunctory gift that nobody ever asks for. Unreturnable because all you get back is another box of chocolates. So you're stuck with this undefinable whipped mint crap that you mindlessly wolf down when there's nothing else left to eat. Sure, once in a while there's a peanut butter cup or an English toffee. But they're gone too fast and the taste is... fleeting. So, you end up with nothing but broken bits filled with hardened jelly and teeth-shattering nuts. And if you're desperate enough to eat those, all you got left is an empty box filled with useless brown paper wrappers. ",Cigarette Smoking Man,life,,,"X-Files (Seas4, Episode 7)",
"Oregon…Western America's taint.  T'aint Washington, t'aint California.","Colbert, Stephen",Oregon,,,,
Rainbows are God's way of frowning at gay people.,"Colbert, Stephen",homosexuality,,,,
"Hey yogurt, if you're so cultured how come I never see you at the opera?","Colbert, Stephen",yogurt,,,,
"NASA scientists have discovered a new form of life.  Unfortunately, it won't date them either.","Colbert, Stephen",scientists,,,,
Thank God they said he was a Frenchman. I was worried we lost another Republican senator.,"Colbert, Stephen",Republicans,,,Cheating Death segment on episode on 2/21/2011,"Jibe after introducing story about a French guy who was suing pharmaceutical company claming Requip turned him into gay sex addict, started cross-dressing and posing on internet."
