name,partOfSpeech,definition,etymology,tags,synonym,notes,
-ista,suffix,"Added to words to form nouns denoting one who follows a principle, an adept.",,,,Ref: Wiktionary.  Portugeuse.  Usage note: Words formed using this suffix usually have more of a pejorative connotation than related words formed using -ist.,
à la ,preposition,: in the manner of,[French],,,,
a priori,,,,,,,
abate,verb,"transitive verb 1(a): to put an end to <abate a nuisance> (b): nullify <abate a writ>  2(a): to reduce in degree or intensity: moderate <may abate their rancor to win peace> (b): to reduce in value or amount: make less especially by way of relief <abate a tax>  3: deduct, omit <abate part of the price>  4(a): to beat down or cut away so as to leave a figure in relief bobsolete: blunt  5: deprive intransitive verb 1: to decrease in force or intensity  2(a): to become defeated or become null or void (b): to decrease in amount or value",,,,,
abide,verb,transitive verb  1: to wait for:await.  2(a): to endure without yielding: withstand. (b): to bear patiently: tolerate. <cannot abide such bigots>  3: to accept without objection <will abide your decision>  intransitive verb 1: to remain stable or fixed in a state.  2: to continue in a place: sojourn,,,,,
abject,adjective,"1: sunk to or existing in a low state or condition <to lowest pitch of abject fortune thou art fallen — John Milton>  2(a): cast down in spirit: servile, spiritless <a man made abject by suffering> (b): showing hopelessness or resignation <abject surrender>  3: expressing or offered in a humble and often ingratiating spirit <abject flattery> <an abject apology>",,,,,
abrogate,verb,1: to abolish by authoritative action: annul   2: to treat as nonexistent <abrogating their responsibilities>,,,,,
abscond,verb,: to depart secretly and hide oneself,,,,,
absolve,verb,1: to set free from an obligation or the consequences of guilt.  2: to remit (a sin) by absolution.,,,,,
abstruse,adjective,: difficult to comprehend : recondite <the abstruse calculations of mathematicians>  ,,,<complicated>,,
accord,verb,"transitive verb 1: to bring into agreement : reconcile  2: to grant or give especially as appropriate, due, or earned",,,,,
accost,,,,,,,
acerbic,adjective,": acid in temper, mood, or tone <acerbic commentary> <an acerbic reviewer>  ",,,<harsh>,,
acumen,noun,": keenness and depth of perception, discernment, or discrimination especially in practical matters",,,<discernment>,acumen implies characteristic penetration combined with keen practical judgment <a director of reliable box-office acumen>.,
acute,adjective,"1a(i): characterized by sharpness or severity <acute pain> (ii): having a sudden onset, sharp rise, and short course <acute disease> (iii): being, providing, or requiring short-term medical care (as for serious illness or traumatic injury) <acute hospitals> <an acute patient> (b): lasting a short time <acute experiments>  4(a): marked by keen discernment or intellectual perception especially of subtle distinctions: penetrating <an acute thinker> (b): responsive to slight impressions or stimuli <acute hearing>  5: felt, perceived, or experienced intensely <acute distress>  6: seriously demanding urgent attention <an acute emergency>",,,<sharp>,,
adage,noun,: a saying often in metaphorical form that embodies a common observation,,(literary),<saying>,,
adamant,adjective,: unshakable or insistent especially in maintaining a position or opinion,,,<inflexible>,,
adamant,noun,1: a stone (as a diamond) formerly believed to be of impenetrable hardness.  2: an unbreakable or extremely hard substance.  ,,,,,
admonish,verb,"1(a): to indicate duties or obligations to (b): to express warning or disapproval to especially in a gentle, earnest, or solicitous manner  2: to give friendly earnest advice or encouragement to",,,<reprove>,admonish suggests earnest or friendly warning and counsel <admonished by my parents to control expenses>,
adrogynous,adjective,1: having the characteristics or nature of both male and female  2(a): neither specifically feminine nor masculine <the androgynous pronoun them> b: suitable to or for either sex <androgynous clothing> 3: having traditional male and female roles obscured or reversed <an androgynous marriage>,,,,,
adroit,adjective,": having or showing skill, cleverness, or resourcefulness in handling situations <an adroit leader> <adroit maneuvers>",,,<clever>,,
adumbrate,verb,"1: to foreshadow vaguely : intimate  2: to suggest, disclose, or outline partially   3: overshadow, obscure ",,,,"You aren't likely to find ""adumbrate"" in children's stories or on the sports pages. That's not because this shady word is somehow off-color, but rather because it tends to show up most often in academic or political writing. In fact, some usage commentators find it too hard for ""ordinary"" use (although they are hard-pressed to define ""ordinary""). Art and literary critics have long found it useful, and it's a definite candidate for those oft-published ""lists of words you should know"" (especially for vocabulary tests). You might remember ""adumbrate"" better if you know that it developed from the Latin verb ""adumbrare,"" which in turn comes from ""umbra,"" the Latin word for ""shadow."" To ""adumbrate,"" then, is to offer a shadowy view of something.",
advent,noun,3: not capitalized : a coming into being or use <the Advent of spring> <the Advent of pasteurization>,,,,,
affidavit,noun,: a sworn statement in writing made especially under oath or on affirmation before an authorized magistrate or officer,,(law),,,
aggrandize,verb,"1: to make great or greater: increase, enlarge <aggrandize an estate>   2: to make appear great or greater: praise highly.   3: to enhance the power, wealth, position, or reputation of <exploited the situation to aggrandize himself>  ",,,,,
agnail,noun,: hangnail,,(root),,,
ajax,adjective,: to totally destroy or dismantle something,,(my slang),,,
akin,adjective,"1: related by blood : descended from a common ancestor or prototype   2: essentially similar, related, or compatible <his interests are akin to mine>  ",,,,,
alacrity,noun,: promptness in response: cheerful readiness <accepted the invitation with alacrity>  ,,,,,
allege,verb,2: to assert without proof or before proving <the newspaper alleges the mayor's guilt>  3: to bring forward as a reason or excuse,,,,,
allegory,noun,1: the expression by means of symbolic fictional figures and actions of truths or generalizations about human existence  ; also : an instance (as in a story or painting) of such expression  2: a symbolic representation : emblem,,(literary),,,
allude,verb,: to make indirect reference <comments alluding to an earlier discussion>; broadly : refer,,,,,
ambidextrous,adjective,1: using both hands with equal ease   2: unusually skillful : versatile   3: characterized by duplicity : double-dealing  ,,,,,
amble,verb,: to go at or as if at an amble: saunter  ,,,<walk>,,
amenable,adjective,"1: liable to be brought to account : answerable <citizens amenable to the law>  2(a): capable of submission (as to judgment or test) : suited <the data is amenable to analysis> (b): readily brought to yield, submit, or cooperate <a government not amenable to change> (c): willing <was amenable to spending more time at home>",,,<responsible>,"amenable and liable stress the fact of subjection to review, censure, or control by a designated authority under certain conditions <laws are amenable to judicial review> <not liable for the debts of the former spouse>.",
anachronism,noun,"1: an error in chronology; especially: a chronological misplacing of persons, events, objects, or customs in regard to each other.  2: a person or a thing that is chronologically out of place; especially: one from a former age that is incongruous in the present. 3: the state or condition of being chronologically out of place.",,,,,
anachronistic,adjective,,,,,,
Anam Cara,noun,"as defined by John O'Donahue: In the Celtic tradition there is a beautiful understanding of love and friendship.  One of the fascinating ideas here is the idea of ""soul love.""  The old Gaelic term for this is anam cara.  Anam is the Gaelic word for soul, and cara is the word for friend.  In the early Celtic church a person that acted as a teacher, companion or spiritual guide was called an anam cara.  It originally referred to someone to whom you confessed, revealing the hidden intimacies of your life.  With the anam cara you could share your innermost self, your mind, and your heart.  This friendship was an act of recognition and belonging.  In everyone's life, there is great need for an anam cara, a soul friend.  In this love you are understood as you are without mask or pretension.  Where you are understood, you are at home.",[Gaelic],(philosophy),,,
animus,noun,"1: basic attitude or governing spirit : disposition  , intention   2: a usually prejudiced and often spiteful or malevolent ill will   3: an inner masculine part of the female personality in the analytic psychology of C. G. Jung",,(psychology),,,
annal,noun,"2: a relation of events in chronological order, each event being recorded under the year in which it happened.  <Annals of our religion>  3: historical records: chronicles: history.  4: a periodic publication, containing records of discoveries, transactions of societies, etc... <annals of science>",,,<record>,ref: Wiktionary,
annotate,verb, intransitive verb: to make or furnish critical or explanatory notes or comment,,(literary),,,
annotation,noun,1: a note added by way of comment or explanation,,(literary),,,
anodyne,adjective,1: serving to alleviate pain  2: not likely to offend or arouse tensions : innocuous ,,,,,
antecedent,noun,"1: a substantive word, phrase, or clause whose denotation is referred to by a pronoun (as John in “Mary saw John and called to him”); broadly : a word or phrase replaced by a substitute  2: the conditional element in a proposition (as if A in “if A, then B”)  3: the first term of a mathematical ratio  4(a): a preceding event, condition, or cause (b) plural : the significant events, conditions, and traits of one's earlier life  5(a): predecessor; especially : a model or stimulus for later developments (b) plural : ancestors, parents",,(literary),,,
anthropomorphic,adjective,1: described or thought of as having a human form or human attributes <anthropomorphic deities>   2: ascribing human characteristics to nonhuman things <anthropomorphic supernaturalism>  ,,,,,
anti-novel,noun,: a work of fiction that lacks most or all of the traditional features of the novel,,(literary),,ref: literary terms book,
antinomy,noun,"1: a contradiction between two apparently equally valid principles or between inferences correctly drawn from such principles   2: a fundamental and apparently unresolvable conflict or contradiction <antinomies of beauty and evil, freedom and slavery — Stephen Holden>  ",,(philosophy),,"also an informal logical fallacy, having to do with the  grammatical structure of a sentence...research!",
antipathy,noun,2: settled aversion or dislike : distaste <his well-known antipathy to taxes>  3: an object of aversion,,,,,
antipodes,noun,1: the parts of the earth diametrically opposite —usually used in plural —often used of Australia and New Zealand as contrasted to the western hemisphere   2: the exact opposite or contrary  ,,,,talked about on Way with Words,
antithesis,noun,"1 a (1): the rhetorical contrast of ideas by means of parallel arrangements of words, clauses, or sentences (as in “action, not words” or “they promised freedom and provided slavery”) (2): opposition, contrast <the antithesis of prose and verse> b (1): the second of two opposing constituents of an antithesis (2): the direct opposite <her temperament is the very antithesis of mine>  2: the second stage of a dialectic process",,(literary),<opposite>,,
aperçu,noun,1: a brief survey or sketch : outline  2: an immediate impression; especially : insight,[French],,,,
apex,noun,1(a): the uppermost point : vertex <the apex of a mountain> (b): the narrowed or pointed end : tip <the apex of the tongue>  2: the highest or culminating point <the apex of his career>,,,,,
aphorism,noun,1: a concise statement of a principle   2: a terse formulation of a truth or sentiment : adage  ,,(literary),<saying>,,
apogee,noun,1: the point in the orbit of an object (as a satellite) orbiting the earth that is at the greatest distance from the center of the earth; also : the point farthest from a planet or a satellite (as the moon) reached by an object orbiting it — compare perigee  2: the farthest or highest point : culmination <Aegean civilization reached its apogee in Crete>,,,,,
apothegm,noun,": a short, pithy, and instructive saying or formulation : aphorism  ",,(literary),,,
apotheosis,noun,1: elevation to divine status : deification   2: the perfect example : quintessence <this is the literary apotheosis of the shaggy dog story — Thomas Sutcliffe>  ,,,,,
append,verb,"transitive verb: 1: attach, affix.   2: to add as a supplement or appendix (as in a book).  ",,,,,
apprise,verb,: to give notice to : tell <they apprised him of his rights>,,,,,
appropriate,verb,1: to take exclusive possession of : annex <no one should appropriate a common benefit>   2: to set apart for or assign to a particular purpose or use <appropriate money for the research program>   3: to take or make use of without authority or right  ,,,,,
apricity,noun,obsolete : the warmth of the sun in winter,,(obscure),,see Wiktionary entry,
apropos,adverb,1: at an opportune time: seasonably.   2: by way of interjection or further comment: with regard to the present topic.,[French],,,"French (à propos), literally to the purpose",
apropos,adjective,,[French],,,,
aptitude,noun,"1(a): inclination  , tendency <an aptitude for hard work> (b): a natural ability : talent  2: capacity for learning <an aptitude for languages>  3: general suitability : aptness",,,<talent>,aptitude implies a natural liking for some activity and the likelihood of success in it <a mechanical aptitude>,
arcana,noun,"1: mysterious or specialized knowledge, language, or information accessible or possessed only by the initiate —usually used in plural",,,,,
arcane,adjective,": known or knowable only to the initiate : secret <arcane rites>; broadly : mysterious, obscure <arcane explanations>",,,,,
ardor,noun,1(a): an often restless or transitory warmth of feeling <the sudden ardors of youth> (b): extreme vigor or energy : intensity (c): zeal d: loyalty  2: sexual excitement,,,,,
arduous,adjective,1(a): hard to accomplish or achieve : difficult <years of arduous training> (b): marked by great labor or effort : strenuous <a life of arduous toil — A. C. Cole>2: hard to climb : steep <an arduous path>,,,<difficult>,,
argot,noun,: an often more or less secret vocabulary and idiom peculiar to a particular group <shoved into a taxi by a porter whose argot I couldn't understand — Allen Tate>  ,,(literary),,,
aria,noun,"1: air, melody, tune; specifically: an accompanied elaborate melody sung (as in an opera) by a single voice.  2: a striking solo performance (as in a movie)",,(music),,,
arrondissement,noun,1: an administrative district of some large French cities   2: the largest division of a French department  ,[French],,,,
arse,noun,: variant of ass,,,<butt>,,
artifice,,,,,,,
artless,adjective,"1: lacking art, knowledge, or skill : uncultured <an artless brute>  2(a): made without skill : crude <an artless attempt to win votes> (b): free from artificiality : natural <artless grace>  3: free from guile or craft : sincerely simple <an artless young woman>",,,<unsophisticated>,artless suggests a naturalness resulting from unawareness of the effect one is producing on others <artless charm>.,
askance,adverb,1: with a side-glance : obliquely   2: with disapproval or distrust : scornfully <they eyed the stranger askance>  ,,,,,
assail,verb,: to attack violently with blows or words,,,,,
assay,noun,"1: try, attempt  2(a): to analyze (as an ore) for one or more specific components (b): to judge the worth of : estimate.",,,,,
